2024-07-05 09:28:01 客户端（192.168.19.128）已连接。
2024-07-05 09:28:01 192.168.19.128 login ok.
2024-07-05 12:55:33 recv /myproject/myserver/surfdata/SURF_ZH_20240705125500_19421.xml(125593) ...ok.
2024-07-05 12:56:33 recv /myproject/myserver/surfdata/SURF_ZH_20240705125600_19482.xml(125535) ...ok.
2024-07-05 12:57:33 recv /myproject/myserver/surfdata/SURF_ZH_20240705125700_19544.xml(125553) ...ok.
2024-07-05 12:58:33 recv /myproject/myserver/surfdata/SURF_ZH_20240705125800_19608.xml(125529) ...ok.
2024-07-05 12:59:33 recv /myproject/myserver/surfdata/SURF_ZH_20240705125900_19674.xml(125580) ...ok.
2024-07-05 13:00:33 recv /myproject/myserver/surfdata/SURF_ZH_20240705130000_19740.xml(125582) ...ok.
2024-07-05 13:01:34 recv /myproject/myserver/surfdata/SURF_ZH_20240705130100_19834.xml(125564) ...ok.
2024-07-05 13:02:34 recv /myproject/myserver/surfdata/SURF_ZH_20240705130200_19896.xml(125581) ...ok.
2024-07-05 13:03:34 recv /myproject/myserver/surfdata/SURF_ZH_20240705130300_19960.xml(125545) ...ok.
2024-07-05 13:04:34 recv /myproject/myserver/surfdata/SURF_ZH_20240705130400_20023.xml(125584) ...ok.
2024-07-05 13:05:34 recv /myproject/myserver/surfdata/SURF_ZH_20240705130500_20085.xml(125585) ...ok.
2024-07-05 13:06:34 recv /myproject/myserver/surfdata/SURF_ZH_20240705130600_20146.xml(125584) ...ok.
2024-07-05 13:07:34 recv /myproject/myserver/surfdata/SURF_ZH_20240705130700_20208.xml(125589) ...ok.
2024-07-05 13:08:35 recv /myproject/myserver/surfdata/SURF_ZH_20240705130800_20272.xml(125540) ...ok.
2024-07-05 13:09:35 recv /myproject/myserver/surfdata/SURF_ZH_20240705130900_20334.xml(125576) ...ok.
2024-07-05 13:10:35 recv /myproject/myserver/surfdata/SURF_ZH_20240705131000_20402.xml(125575) ...ok.
2024-07-05 13:11:35 recv /myproject/myserver/surfdata/SURF_ZH_20240705131100_20463.xml(125521) ...ok.
2024-07-05 13:12:35 recv /myproject/myserver/surfdata/SURF_ZH_20240705131200_20524.xml(125605) ...ok.
2024-07-05 13:13:35 recv /myproject/myserver/surfdata/SURF_ZH_20240705131300_20590.xml(125581) ...ok.
2024-07-05 13:14:35 recv /myproject/myserver/surfdata/SURF_ZH_20240705131400_20671.xml(125540) ...ok.
2024-07-05 13:15:36 recv /myproject/myserver/surfdata/SURF_ZH_20240705131500_20732.xml(125612) ...ok.
2024-07-05 13:16:36 recv /myproject/myserver/surfdata/SURF_ZH_20240705131600_20794.xml(125544) ...ok.
2024-07-05 13:17:36 recv /myproject/myserver/surfdata/SURF_ZH_20240705131700_20855.xml(125617) ...ok.
2024-07-05 13:18:36 recv /myproject/myserver/surfdata/SURF_ZH_20240705131800_20920.xml(125594) ...ok.
2024-07-05 13:19:36 recv /myproject/myserver/surfdata/SURF_ZH_20240705131900_20982.xml(125576) ...ok.
2024-07-05 13:20:36 recv /myproject/myserver/surfdata/SURF_ZH_20240705132000_21049.xml(125567) ...ok.
2024-07-05 13:21:36 recv /myproject/myserver/surfdata/SURF_ZH_20240705132100_21111.xml(125508) ...ok.
2024-07-05 13:22:37 recv /myproject/myserver/surfdata/SURF_ZH_20240705132200_21173.xml(125617) ...ok.
